TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DAL,DAL @ MIL,4/3/2022,W,240,118,39,76,51.3,16,38,42.1,24,27,88.9,2,36,38,28,7,3,14,20,6
MIL,MIL vs. DAL,4/3/2022,L,240,112,42,95,44.2,15,40,37.5,13,18,72.2,10,26,36,25,9,1,9,22,-6
MIA,MIA @ TOR,4/3/2022,W,240,114,41,79,51.9,18,38,47.4,14,22,63.6,8,30,38,30,9,4,17,21,5
TOR,TOR vs. MIA,4/3/2022,L,240,109,35,83,42.2,12,39,30.8,27,34,79.4,10,28,38,19,12,1,17,20,-5
MIN,MIN @ HOU,4/3/2022,W,240,139,51,86,59.3,17,41,41.5,20,25,80,7,25,32,32,13,6,19,27,7
HOU,HOU vs. MIN,4/3/2022,L,240,132,48,85,56.5,16,40,40,20,29,69,11,25,36,28,8,4,24,24,-7
BOS,BOS vs. WAS,4/3/2022,W,240,144,56,91,61.5,23,44,52.3,9,13,69.2,7,32,39,39,6,5,8,20,42
WAS,WAS @ BOS,4/3/2022,L,240,102,38,82,46.3,8,21,38.1,18,20,90,7,25,32,21,4,2,12,14,-42
POR,POR @ SAS,4/3/2022,L,240,92,33,84,39.3,16,45,35.6,10,15,66.7,7,32,39,22,7,4,14,22,-21
SAS,SAS vs. POR,4/3/2022,W,240,113,38,84,45.2,14,42,33.3,23,30,76.7,10,41,51,25,9,1,13,18,21
OKC,OKC vs. PHX,4/3/2022,W,240,117,43,87,49.4,17,41,41.5,14,18,77.8,12,42,54,33,7,4,18,18,21
PHX,PHX @ OKC,4/3/2022,L,240,96,37,89,41.6,7,38,18.4,15,17,88.2,6,27,33,22,14,4,11,17,-21
CLE,CLE vs. PHI,4/3/2022,L,240,108,35,78,44.9,15,33,45.5,23,31,74.2,7,34,41,24,10,3,12,28,-4
PHI,PHI @ CLE,4/3/2022,W,240,112,33,80,41.3,11,31,35.5,35,42,83.3,12,38,50,23,7,8,14,19,4
GSW,GSW vs. UTA,4/2/2022,W,240,111,40,84,47.6,20,48,41.7,11,12,91.7,6,35,41,30,5,6,11,22,4
UTA,UTA @ GSW,4/2/2022,L,240,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,8,2,13,17,-4
MIA,MIA @ CHI,4/2/2022,W,240,127,44,82,53.7,17,34,50,22,27,81.5,5,36,41,28,4,1,9,21,18
CHI,CHI vs. MIA,4/2/2022,L,240,109,37,86,43,9,34,26.5,26,29,89.7,11,28,39,21,5,4,6,19,-18
ATL,ATL vs. BKN,4/2/2022,W,240,122,36,86,41.9,13,41,31.7,37,49,75.5,10,44,54,18,10,4,7,18,7
BKN,BKN @ ATL,4/2/2022,L,240,115,42,99,42.4,17,37,45.9,14,19,73.7,10,42,52,17,5,3,13,29,-7
NYK,NYK vs. CLE,4/2/2022,L,240,101,31,77,40.3,13,30,43.3,26,34,76.5,6,29,35,19,6,4,11,19,-18
CLE,CLE @ NYK,4/2/2022,W,240,119,44,81,54.3,15,34,44.1,16,21,76.2,7,36,43,26,6,3,12,24,18
CHA,CHA @ PHI,4/2/2022,L,240,114,42,87,48.3,11,30,36.7,19,24,79.2,7,25,32,34,14,1,17,18,-30
PHI,PHI vs. CHA,4/2/2022,W,240,144,53,87,60.9,21,43,48.8,17,21,81,10,37,47,38,10,5,19,18,30
NOP,NOP @ LAL,4/1/2022,W,240,114,41,79,51.9,7,26,26.9,25,29,86.2,4,33,37,23,8,4,15,21,3
LAL,LAL vs. NOP,4/1/2022,L,240,111,39,82,47.6,11,27,40.7,22,31,71,7,33,40,24,10,1,17,24,-3
DEN,DEN vs. MIN,4/1/2022,L,240,130,46,86,53.5,12,35,34.3,26,29,89.7,10,34,44,36,7,2,18,23,-6
MIN,MIN @ DEN,4/1/2022,W,240,136,43,86,50,19,40,47.5,31,36,86.1,10,28,38,26,14,4,12,23,6
POR,POR @ SAS,4/1/2022,L,240,111,41,92,44.6,15,35,42.9,14,20,70,12,30,42,27,12,2,12,20,-19
SAS,SAS vs. POR,4/1/2022,W,240,130,46,81,56.8,16,37,43.2,22,28,78.6,8,36,44,34,9,6,15,16,19
PHX,PHX @ MEM,4/1/2022,L,240,114,47,86,54.7,10,27,37,10,17,58.8,2,37,39,27,8,4,20,25,-8
MEM,MEM vs. PHX,4/1/2022,W,240,122,46,102,45.1,7,24,29.2,23,28,82.1,16,32,48,30,7,2,11,18,8
SAC,SAC @ HOU,4/1/2022,W,240,122,42,81,51.9,12,28,42.9,26,34,76.5,8,39,47,29,6,11,13,19,5
HOU,HOU vs. SAC,4/1/2022,L,240,117,41,97,42.3,17,45,37.8,18,26,69.2,15,30,45,26,9,7,11,25,-5
LAC,LAC @ MIL,4/1/2022,W,240,153,56,92,60.9,23,43,53.5,18,24,75,8,28,36,34,9,7,10,17,34
MIL,MIL vs. LAC,4/1/2022,L,240,119,50,94,53.2,8,25,32,11,18,61.1,13,25,38,30,6,5,15,19,-34
TOR,TOR @ ORL,4/1/2022,W,240,102,36,86,41.9,13,42,31,17,20,85,10,31,41,21,13,3,10,14,13
ORL,ORL vs. TOR,4/1/2022,L,240,89,34,79,43,11,35,31.4,10,11,90.9,9,36,45,24,6,4,22,14,-13
OKC,OKC vs. DET,4/1/2022,L,240,101,36,84,42.9,11,34,32.4,18,29,62.1,12,42,54,24,1,8,17,15,-9
DET,DET @ OKC,4/1/2022,W,240,110,40,94,42.6,15,48,31.3,15,18,83.3,8,36,44,29,9,8,8,20,9
