TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC @ DEN,3/26/2022,L,240,107,39,84,46.4,14,36,38.9,15,16,93.8,5,31,36,29,8,5,17,19,-6
DEN,DEN vs. OKC,3/26/2022,W,240,113,41,85,48.2,8,31,25.8,23,24,95.8,10,37,47,33,11,5,15,19,6
MEM,MEM vs. MIL,3/26/2022,W,240,127,49,102,48,13,37,35.1,16,23,69.6,16,38,54,30,10,9,8,19,25
MIL,MIL @ MEM,3/26/2022,L,240,102,37,93,39.8,7,32,21.9,21,26,80.8,14,32,46,19,4,7,14,21,-25
IND,IND @ TOR,3/26/2022,L,240,91,33,79,41.8,11,36,30.6,14,20,70,9,26,35,23,5,3,14,14,-40
TOR,TOR vs. IND,3/26/2022,W,240,131,51,84,60.7,15,32,46.9,14,19,73.7,9,33,42,34,9,3,6,16,40
ORL,ORL vs. SAC,3/26/2022,L,265,110,45,106,42.5,13,36,36.1,7,7,100,15,42,57,27,9,3,13,20,-4
SAC,SAC @ ORL,3/26/2022,W,265,114,42,98,42.9,11,36,30.6,19,24,79.2,18,41,59,24,4,4,14,12,4
MIA,MIA vs. BKN,3/26/2022,L,240,95,33,75,44,10,34,29.4,19,26,73.1,6,33,39,20,7,5,24,23,-15
BKN,BKN @ MIA,3/26/2022,W,240,110,39,83,47,11,33,33.3,21,26,80.8,11,29,40,26,15,5,17,22,15
SAS,SAS @ NOP,3/26/2022,W,240,107,39,92,42.4,7,26,26.9,22,25,88,16,33,49,22,4,6,10,17,4
NOP,NOP vs. SAS,3/26/2022,L,240,103,40,90,44.4,10,32,31.3,13,19,68.4,12,30,42,23,4,11,8,19,-4
